name,typical_majors,all_eligible_classifications,typical_classifications,eligible_races,eligible_gender,eligible_sexuality,meeting_frequency,meeting_times,meeting_locations,dues_required,dues_cost,application_required,application_difficulty,time_commitment,member_count,club_type,competitive_or_non_competitive,leadership_roles_available,new_member_onboarding_process,typical_activities,required_skills,offered_skills_or_benefits,club_culture_style,inclusivity_focus,expected_member_traits,administrative_contact_info,website,national_local_affiliation,bio
Fade To Black Dance Ensemble,,,Undergraduate,,,,,,,,,No,Low,Medium,20-50,Cultural,No,Yes,,Volunteering,,Networking,Social,,Interest-driven,f2bdance@gmail.com,https://fadetoblackdance.wixsite.com/mysite,,The purpose shall be to promote diversity through dance and service while adding support and awareness of cultures at Texas A&M University and in the surrounding communities.
Family Law Student Association,"Pre-Law, Law",,"Junior, Senior, Graduate",,,,Monthly,,,No,,No,Low,Medium,0-20,Professional,No,Yes,,"Workshops, Social events",,"Networking, Mentorship",Professional,,Interest-driven,bmontano@tamu.edu,,,The Family Law Student Association seeks to bridge the gap between what we learn during law school and what challenges family law will present in practice. We do this by engaging with local professionals to learn how they help some of the most vulnerable members of our community.
FC College Ministry,,Undergraduate,Undergraduate,White,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,Networking,Social,,Interest-driven,imrachelfoley@tamu.edu,http://fellowshipbcs.org,No,"The purpose of this organization is to meet the needs of Christians and reach out with the love of Jesus Christ. FCCM will accomplish this purpose with its four goals: to Exalt God, to Encourage each other to spiritual maturity, to Equip each other to serve God, and to Evangelize the lost."
The Federalist Society,"Pre-Law, Law",,"Junior, Senior, Graduate",,,,,,,Yes,,No,Low,Medium,20-50,Professional,No,Yes,,"Workshops, Social events",,"Networking, Mentorship",Professional,,Interest-driven,tamufedsoc@gmail.com,https://law.tamu.edu/current-students/student-affairs/student-organizations,No,The Federalist Society for Law and Public Policy Studies is a group of conservatives and libertarians interested in the current state of the legal order. It seeks to promote an awareness of the principles of freedom and the separation of governmental powers.
Feminism 4 Aggies,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Social,No,Yes,,"Social events, Volunteering",,"Networking, Leadership development",Social,Yes,Interest-driven,feminism4aggies@gmail.com,https://feminism4aggies.wixsite.com/tamu,No,"Feminism for Aggies is dedicated to promoting, developing, and empowering individuals of all genders across the Texas A&M campus and the Bryan/College Station community. We strive to create a dynamic and inclusive environment where diversity thrives, and discrimination has no place."
The Femmatas,,,All majors welcome,,Women,,,,,Yes,,No,Low,Medium,20-50,Creative,No,Yes,,Social events,,Networking,Social,,Interest-driven,thefemmatas@gmail.com,https://thefemmatas.wixsite.com/acappella,No,Our mission is to bring the finest in mixed contemporary a cappella music arranged for treble voices to the Texas A&M University community.
"FEST - (Freshman in Engineering, Science, and Technology)",,Freshman,Freshman,,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,"Social events, Volunteering",,"Networking, Leadership development",Social,,Interest-driven,fest.tamu@gmail.com,http://tamufest.org,No,"The purpose of this organization is to instill and develop leadership, social, and service qualities, while developing lasting relationships among our members."
FHK Community Council,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Social,No,Yes,,Social events,,Leadership development,Social,,Interest-driven,jgaytan@tamu.edu,https://rha.tamu.edu,No,"The FHK Community Council serves as the governing student leadership body for Fowler, Hughes, and Keathley Halls at Texas A&M University. The council is dedicated to cultivating a dynamic and fun residential environment through student representation, strategic programming, and the promotion of hall identity and pride."
Financial Management Association,"Business, Finance, Accounting, Marketing, Economics",,"Junior, Senior, Graduate",,,,,,,Yes,,No,Low,Medium,20-50,Professional,No,Yes,,Networking,,"Networking, Mentorship",Professional,,Interest-driven,fma.tamupr@gmail.com,https://tamufma.wixsite.com/aggiefma,No,"Financial Management Association is a nationally recognized professional business organization. Our goal is to develop a continuing relationship between finance practitioners, academicians, and students and to facilitate the transfer of ideas and information between professionals and students in the field of finance."
Financial Planning Student Association,"Business, Finance, Accounting",,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Professional,Yes,Yes,,"Competitions, Special events",,"Networking, Mentorship",Professional,,Interest-driven,aggiefpsa@gmail.com,https://financialplanning.tamu.edu/about/financial-planning-student-association/,No,"The purpose of the Financial Planning Student Association is to provide current students, who are pursuing a financial planning career, an opportunity to continue their learning outside of the classroom through guest speakers, attendance at special events, and participation in national competitions."
Finding Resources for Underprivileged Groups in Aggieland,,Undergraduate,Undergraduate,,Women,,,,,,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,Networking,Social,,Interest-driven,aso664@tamu.edu,https://frugaltamu.wixsite.com/frugaltamu,No,"The mission of FRUGAL is to relieve the extra stress and discomfort that comes with menstruation, specifically within the homeless population, by providing women in poverty with clean feminine products and extra underwear."
First Aggie Connections Team,,Undergraduate,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Social,No,Yes,,"Social events, Community events",,"Networking, Mentorship",Social,,Interest-driven,Khutka97@tamu.edu,https://mentoring.tamu.edu/p/p46,,Connect with peers and former students through the First Aggie Connections Team mentoring program to grow your network in Aggieland and beyond. Multiple community and professional experiences are offered throughout the semester.
First Generation in Healthcare,"Biology, Pre-Med, Health Sciences",,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,"Workshops, Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,,,,Our purpose as an organization consists of building strong first generation students and promoting the knowledge about the challenges and strengths of first generation students in HealthCare.
First-Generation Organization,,Undergraduate,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,"Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,firstgenorganization@gmail.com,,,"The mission of FGO is to help first-generation students with their college endeavors and to serve the community with excellence and integrity. We provide a ""home"" organization for our members and strive to maximize academic and social cohesion with diligence, honesty, and dedication within the community."
Fish Aides,,Freshman,Freshman,,,,,,,No,,Yes,Medium,Medium,20-50,Service,No,Yes,,"Workshops, Social events, Volunteering",,Leadership development,Social,,Interest-driven,fishaidesdirector@gmail.com,https://fishaides.tamu.edu,No,"Fish Aides is the freshman leadership organization within student government designed to develop Texas A&M's leaders of tomorrow. We believe this is accomplished by focusing on the cultivation of integrity, motivation, confidence, respect and social skills."
Fish Camp,,Freshman,Freshman,,,,,,,,,No,Low,Medium,100+,Social,No,Yes,,Social events,,"Networking, Mentorship",Social,,Interest-driven,fcamp-dir@tamu.edu,http://fishcamp.tamu.edu,,Fish Camp strives to welcome freshmen into the Aggie Family by sharing the traditions and values of Texas A&M University and building long-term relationships that embody the Aggie spirit.
Fish Council,,Freshman,Freshman,,,,,,,,,No,Low,Medium,50-100,Social,No,Yes,,Volunteering,,Mentorship,Social,,Interest-driven,tamufishcouncil@gmail.com,https://classcouncils.tamu.edu/fishcouncil/,No,"Fish Council, or Fish Co, consists of up to 60 selected freshmen members, plus the Freshmen Class Officers. Fish Council is also the freshman body of Class Councils, making Fish Co unique from every other FLO."
Fish Drill Team,,Freshman,Freshman,,,,,,,No,,No,Low,High,20-50,Sports,Yes,Yes,,Competitions,,Networking,Very active,,High commitment,,,,"The Fish Drill Team is the competitive armed drill team for Texas A&M University, promoting and representing Texas A&M University and the Corps of Cadets through military drill."
Freedom Ministries,,Undergraduate,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,"Networking, Mentorship",Social,,Interest-driven,edotter@centralbcs.org,http://centralbcs.org,,"We exist to provide a discipleship experience through Central Church that will allow college students in the BCS area to connect with the church, develop a community, and to grow in their walk with the Lord."
Freestyle Underground Street Dancers,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Creative,Yes,Yes,Open,"Workshops, Social events, Competitions, Trips",,Networking,Social,,Interest-driven,fusdsecretary@gmail.com,https://www.instagram.com/tamufusd/,No,"We are TAMU F.U.S.D. (Freestyle Underground Street Dancers) and our mission is to promote fun and community in Bryan/College Station through the practice, learning, and instruction of freestyle dance."
Freshman Aggie Ladies Leading,,Freshman,Freshman,,Women,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,Leadership development,Social,,Interest-driven,falldirectors@gmail.com,,,"Freshmen Aggie Ladies Leading (FALL) is a freshman leadership organization that strives to prepare women for the rest of college and the world beyond through empowerment, service, leadership, and community."
Freshman Aggies in Medicine,"Biology, Pre-Med, Health Sciences",Freshman,Freshman,,,,,,,No,,No,Low,Medium,20-50,Social,No,Yes,,Social events,,"Networking, Mentorship",Social,,Interest-driven,aggiefaim@gmail.com,https://aggiefaim.wixsite.com/mysite,No,"FAiM is geared towards Aggies from many different medical related majors and backgrounds including pre-med, pre-dental, pre-pa, pre-pt, pre-vet, allied health, public health, BIMS, psychology, nutrition, pre-nursing, kinesiology, pre-OT, biomedical engineering, and biology. FAiM is a way for freshmen and staff members with similar majors to surround themselves with like minded others, and ultimately form a community."
Freshman Leaders Advancing in Service and Honor,,Freshman,Freshman,,,,,,,No,,Yes,Medium,Medium,20-50,Service,No,Yes,,Volunteering,,"Networking, Leadership development",Social,,Interest-driven,flashdirectors@gmail.com,http://aggieflash.com,No,"Freshman Leaders Advancing in Service and Honor (FLASH) is a freshman leadership organization that is committed to developing its freshman into leaders dedicated towards serving the greater good by instilling excellence, friendship, service, leadership and honor in all its members."
Freshman Leaders Establishing Excellence,,Freshman,Freshman,,,,,,,,,No,Low,Low,20-50,Social,No,Yes,,"Social events, Volunteering",,"Networking, Leadership development",Social,,Interest-driven,tamuflex.execs@gmail.com,,,"The purpose of FLEX is to provide freshmen with an opportunity to expand their Aggie Network through meeting new freshmen, upperclassmen, and guest speakers. This is an opportunity for freshmen to develop, mature, and build lasting friendships through social events and service to the community, both on and off campus."
